AssetName,BlockGroupName,Station_Code__c
zBlock_Norwich Stn Cycle Locker(16),zSet_Cycle Parking,NRW
zBlock_Norwich Stn Cycle Parking (shelter/rack)(13),zSet_Cycle Parking,NRW
zBlock_Norwich Stn Cycle Parking (shelter/rack)(9),zSet_Cycle Parking,NRW
zBlock_Norwich Stn Cycle rack(18),zSet_Cycle Parking,NRW
zBlock_Norwich Stn Cycle rack(19),zSet_Cycle Parking,NRW
zBlock_Norwich Stn Norwich,zSet_QA Questions,NRW
zBlock_Norwich Stn Norwich,zSet_Station,NRW
zBlock_Norwich Stn Platform Face(25),zSet_Platform face,NRW
zBlock_Norwich Stn Platform Face(26),zSet_Platform face,NRW
zBlock_Norwich Stn Platform Face(27),zSet_Platform face,NRW
zBlock_Norwich Stn Platform Face(28),zSet_Platform face,NRW
zBlock_Norwich Stn Platform Face(33),zSet_Platform face,NRW
zBlock_Norwich Stn Platform Face(34),zSet_Platform face,NRW
zBlock_Norwich Stn Set-down/Pick-up Point (Formal)(3),zSet_Set Down,NRW
zBlock_Norwich Stn Taxi rank(4),zSet_Taxi rank,NRW
zBlock_Norwich Stn Ticket Hall(22),zSet_Other Space,NRW
zBlock_Norwich Stn Ticket Hall(22),zSet_Ticket - Service-Retail Vending,NRW
zBlock_Norwich Stn Toilets (Disabled)(31),zSet_Sanitary facilities,NRW
zBlock_Norwich Stn Toilets (Public)(30),zSet_Sanitary facilities,NRW
zBlock_Norwich Stn Toilets (Public)(32),zSet_Sanitary facilities,NRW
zBlock_Norwich Stn Waiting room,zSet_Waiting Room,NRW
zBlock_Norwich Stn Waiting room(24),zSet_Waiting Room,NRW
